2026-09-12 00:15:55.527 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 00:15:55.543 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 00:15:55.553 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 00:15:57.024 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.2234
2026-09-12 00:15:57.024 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 00:15:57.024 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 00:19:52.725 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 00:19:52.731 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 00:19:52.731 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 00:20:57.698 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 00:20:57.709 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 00:20:57.709 | INFO | graph |  lookup_node | --- Entering Node: [lookup_node] ---
2026-09-12 00:20:58.523 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  generate_dataset | ######      Generating dataset with 50 records      ######
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  generate_dataset | ######      Dataset generation complete      ######
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  validate_dataset | === Validation Report ===
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  validate_dataset | Category counts: Counter({'Personal Loan': 17, 'Business Loan': 11, 'Auto Loan': 10, 'Education Loan': 7, 'Home Loan': 5})
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  validate_dataset | Status counts: Counter({'Under Review': 16, 'Submitted': 12, 'Disbursed': 9, 'Approved': 8, 'Rejected': 5})
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  validate_dataset | Fraud review percentage: 14.00%
2026-09-12 00:51:42.321 | INFO | DataSetGeneration |  validate_dataset | =========================
2026-09-12 00:51:42.329 | INFO | DataSetGeneration |  save_dataset_csv | Dataset saved to dataset_persist.csv
2026-09-12 00:57:23.590 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 00:57:23.605 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 00:57:23.610 | INFO | graph |  lookup_node | --- Entering Node: [lookup_node] ---
2026-09-12 00:57:24.340 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 00:57:48.487 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 00:57:48.487 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 00:57:48.495 | INFO | graph |  lookup_node | --- Entering Node: [lookup_node] ---
2026-09-12 00:57:49.056 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:26.356 | INFO | evaluate_triad |  runRAGtriadEval | === Initializing Task 13: 27-Query RAG Triad Evaluation Suite ===
2026-09-12 01:16:27.108 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:27.108 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:27.108 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:27.217 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.3704
2026-09-12 01:16:27.217 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:27.217 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:27.589 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:27.589 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:27.589 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:27.700 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.2526
2026-09-12 01:16:27.700 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:27.700 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:28.096 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:28.112 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:28.112 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:28.208 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.3269
2026-09-12 01:16:28.208 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:28.208 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:28.585 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:28.585 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:28.585 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:28.691 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.0947
2026-09-12 01:16:28.691 | INFO | graph |  rag_node | Highest Similarity 0.0947 below critical threshold (0.15). Triggering fallback.
2026-09-12 01:16:28.691 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:29.034 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:29.049 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:29.049 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:29.171 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: -0.0025
2026-09-12 01:16:29.187 | INFO | graph |  rag_node | Highest Similarity -0.0025 below critical threshold (0.15). Triggering fallback.
2026-09-12 01:16:29.187 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:29.531 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:29.531 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:29.531 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:29.978 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:29.978 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:29.978 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:30.216 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.2234
2026-09-12 01:16:30.216 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:30.216 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:30.463 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:30.463 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:30.463 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:30.574 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.206
2026-09-12 01:16:30.574 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:30.574 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:30.900 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:30.900 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:30.900 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:31.008 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.3244
2026-09-12 01:16:31.008 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
2026-09-12 01:16:31.044 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:31.559 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:31.559 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:31.559 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:31.658 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.007
2026-09-12 01:16:31.658 | INFO | graph |  rag_node | Highest Similarity 0.007 below critical threshold (0.15). Triggering fallback.
2026-09-12 01:16:31.658 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:32.217 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:32.217 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:32.217 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:32.324 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.1031
2026-09-12 01:16:32.324 | INFO | graph |  rag_node | Highest Similarity 0.1031 below critical threshold (0.15). Triggering fallback.
2026-09-12 01:16:32.324 | INFO | graph |  generator_node | --- Entering Node: [generator_node] ---
2026-09-12 01:16:33.066 | INFO | graph |  guardrail_node | --- Entering Node: [guardrail_node] ---
2026-09-12 01:16:33.081 | INFO | graph |  router_node | --- Entering Node: [router_node] ---
2026-09-12 01:16:33.081 | INFO | graph |  rag_node | --- Entering Node: [rag_node] ---
2026-09-12 01:16:33.174 | INFO | graph |  rag_node | ChromaDB Query Cosine Similarity Score Evaluated: 0.3981
2026-09-12 01:16:33.174 | INFO | graph |  rag_node | Success: Retrieved 3 discrete chunks from sentence collection.
