2026-08-30 13:18:31.083 | INFO | HFDC_AGENT | ######      Generating dataset with 50 records      ######
2026-08-30 13:18:31.097 | INFO | HFDC_AGENT | ######      Dataset generation complete      ######
2026-08-30 13:18:31.098 | INFO | HFDC_AGENT | === Validation Report ===
2026-08-30 13:18:31.100 | INFO | HFDC_AGENT | Category counts: Counter({'Personal Loan': 17, 'Business Loan': 11, 'Auto Loan': 10, 'Education Loan': 7, 'Home Loan': 5})
2026-08-30 13:18:31.100 | INFO | HFDC_AGENT | Status counts: Counter({'Under Review': 16, 'Submitted': 12, 'Disbursed': 9, 'Approved': 8, 'Rejected': 5})
2026-08-30 13:18:31.107 | INFO | HFDC_AGENT | Fraud review percentage: 14.00%
2026-08-30 13:18:31.107 | INFO | HFDC_AGENT | =========================
2026-08-30 15:02:12.154 | INFO | loggingCentral.InitLogger |  generate_dataset | ######      Generating dataset with 50 records      ######
2026-08-30 15:02:12.155 | INFO | loggingCentral.InitLogger |  generate_dataset | ######      Dataset generation complete      ######
2026-08-30 15:02:12.156 | INFO | loggingCentral.InitLogger |  validate_dataset | === Validation Report ===
2026-08-30 15:02:12.156 | INFO | loggingCentral.InitLogger |  validate_dataset | Category counts: Counter({'Personal Loan': 17, 'Business Loan': 11, 'Auto Loan': 10, 'Education Loan': 7, 'Home Loan': 5})
2026-08-30 15:02:12.156 | INFO | loggingCentral.InitLogger |  validate_dataset | Status counts: Counter({'Under Review': 16, 'Submitted': 12, 'Disbursed': 9, 'Approved': 8, 'Rejected': 5})
2026-08-30 15:02:12.156 | INFO | loggingCentral.InitLogger |  validate_dataset | Fraud review percentage: 14.00%
2026-08-30 15:02:12.157 | INFO | loggingCentral.InitLogger |  validate_dataset | =========================
2026-08-30 15:12:07.348 | INFO | loggingCentral.InitLogger |  generate_dataset | ######      Generating dataset with 50 records      ######
2026-08-30 15:12:07.349 | INFO | loggingCentral.InitLogger |  generate_dataset | ######      Dataset generation complete      ######
2026-08-30 15:12:07.350 | INFO | loggingCentral.InitLogger |  validate_dataset | === Validation Report ===
2026-08-30 15:12:07.350 | INFO | loggingCentral.InitLogger |  validate_dataset | Category counts: Counter({'Personal Loan': 17, 'Business Loan': 11, 'Auto Loan': 10, 'Education Loan': 7, 'Home Loan': 5})
2026-08-30 15:12:07.350 | INFO | loggingCentral.InitLogger |  validate_dataset | Status counts: Counter({'Under Review': 16, 'Submitted': 12, 'Disbursed': 9, 'Approved': 8, 'Rejected': 5})
2026-08-30 15:12:07.351 | INFO | loggingCentral.InitLogger |  validate_dataset | Fraud review percentage: 14.00%
2026-08-30 15:12:07.351 | INFO | loggingCentral.InitLogger |  validate_dataset | =========================
2026-08-30 16:27:14.202 | INFO | DataSetGeneration |  generate_dataset | ######      Generating dataset with 50 records      ######
2026-08-30 16:27:14.203 | INFO | DataSetGeneration |  generate_dataset | ######      Dataset generation complete      ######
